period,source_name,destination_name,firm,firm_type,cc1 lcu fee,cc1 fx margin,cc1 total cost %
2016_2Q,Cameroon,Nigeria,Western Union,Money Transfer Operator,5305.0,3.36,9.06
2016_2Q,Germany,Ghana,MoneyGram,Money Transfer Operator,12.5,1.91,10.84
2016_2Q,Germany,Ghana,Postbank,Post office,1.5,0.0,1.07
2016_2Q,Germany,Ghana,Postbank,Post office,8.5,0.0,6.07
2016_2Q,Germany,Ghana,Universal Money Transfer Gmbh,Money Transfer Operator,10.0,1.36,8.51
2016_2Q,Germany,Ghana,Western Union,Money Transfer Operator,6.9,5.06,9.99
2016_2Q,Canada,Nigeria,Trans-Fast,Money Transfer Operator,4.99,0.0,2.5
2016_2Q,Canada,Nigeria,Trans-Fast,Money Transfer Operator,4.99,0.0,2.5
2016_2Q,Canada,Nigeria,WorldRemit,Money Transfer Operator,9.99,0.0,5.0
2016_2Q,Germany,Nigeria,MoneyGram,Money Transfer Operator,12.5,0.0,8.93
2016_2Q,Germany,Nigeria,Postbank,Post office,1.5,0.0,1.07
2016_2Q,Germany,Nigeria,Postbank,Post office,8.5,0.0,6.07
2016_2Q,Germany,Nigeria,Small World FS-LCC,Money Transfer Operator,8.0,0.0,5.71
2016_2Q,Germany,Nigeria,Western Union,Money Transfer Operator,6.9,4.93,9.86
2016_2Q,France,Senegal,Western Union,Money Transfer Operator,7.9,0.0,5.64
2016_2Q,France,Senegal,MoneyGram,Money Transfer Operator,7.5,0.0,5.36
2016_2Q,France,Senegal,Ria,Money Transfer Operator,6.9,0.0,4.93
2016_2Q,France,Senegal,Sigue Money Transfers,Money Transfer Operator,7.5,0.0,5.36
2016_2Q,France,Senegal,La Poste,Money Transfer Operator / Post office,7.5,0.0,5.36
2016_2Q,France,Senegal,Flouss,Money Transfer Operator,0.0,0.0,0.0
2016_2Q,Italy,Nigeria,MoneyGram,Money Transfer Operator,7.4,2.34,7.63
2016_2Q,Italy,Nigeria,Western Union,Money Transfer Operator,7.5,5.4,10.76
2016_2Q,Italy,Nigeria,Banca Monte dei Paschi di Siena,Bank,21.0,0.0,15.0
2016_2Q,Italy,Nigeria,Banca Monte dei Paschi di Siena,Bank,0.0,0.0,0.0
2016_2Q,Italy,Nigeria,Sigue Money Transfers,Money Transfer Operator,5.0,1.99,5.56
2016_2Q,Italy,Nigeria,Ria,Money Transfer Operator,3.5,4.63,7.13
2016_2Q,Italy,Nigeria,Unicredit Banca,Bank,20.5,0.0,14.64
2016_2Q,United Kingdom,Nigeria,Western Union,Money Transfer Operator,8.9,2.7,10.12
2016_2Q,United Kingdom,Nigeria,Western Union,Money Transfer Operator,6.9,2.7,8.45
2016_2Q,United Kingdom,Nigeria,MoneyGram,Money Transfer Operator,7.9,0.0,6.58
2016_2Q,United Kingdom,Nigeria,Sigue Money Transfers,Money Transfer Operator,6.0,0.0,5.0
2016_2Q,United Kingdom,Nigeria,Ria,Money Transfer Operator,6.0,0.64,5.64
2016_2Q,United Kingdom,Nigeria,Moneyline UK,Money Transfer Operator,6.0,0.0,5.0
2016_2Q,United Kingdom,South Africa,MoneyGram,Money Transfer Operator,3.6,6.93,9.93
2016_2Q,United Kingdom,South Africa,Easy Exchange,Money Transfer Operator,5.0,3.56,7.72
2016_2Q,United Kingdom,South Africa,1st Contact Forex,Money Transfer Operator,10.0,1.81,10.14
2016_2Q,United Kingdom,South Africa,Tranzfers.com,Money Transfer Operator,7.0,1.98,7.81
2016_2Q,United Kingdom,South Africa,Mukuru,Money Transfer Operator,1.0,1.84,2.67
2016_2Q,United Kingdom,South Africa,WorldRemit,Money Transfer Operator,2.99,1.87,4.36
2016_2Q,United Kingdom,Tanzania,MoneyGram,Money Transfer Operator,19.0,2.56,18.39
2016_2Q,United Kingdom,Uganda,Western Union,Money Transfer Operator,8.9,3.7,11.11
2016_2Q,United Kingdom,Uganda,Western Union,Money Transfer Operator,6.9,3.7,9.45
2016_2Q,United Kingdom,Uganda,MoneyGram,Money Transfer Operator,9.9,3.81,12.06
2016_2Q,United Kingdom,Uganda,Dahabshiil,Money Transfer Operator,7.2,1.53,7.53
2016_2Q,United Kingdom,Ghana,Western Union,Money Transfer Operator,8.9,2.82,10.24
2016_2Q,United Kingdom,Ghana,MoneyGram,Money Transfer Operator,9.9,2.6,10.85
2016_2Q,United Kingdom,Ghana,Sigue Money Transfers,Money Transfer Operator,6.0,0.42,5.42
2016_2Q,United Kingdom,Ghana,Xpress Money,Money Transfer Operator,6.0,-0.96,4.04
2016_2Q,United Kingdom,Ghana,Ria,Money Transfer Operator,4.8,0.6,4.6
2016_2Q,United Kingdom,Ghana,Unity Link,Money Transfer Operator,7.0,0.0,5.83
2016_2Q,United Kingdom,Ghana,First African Remittances,Money Transfer Operator,6.0,-0.51,4.49
2016_2Q,United Kingdom,Kenya,Western Union,Money Transfer Operator,8.9,4.22,11.63
2016_2Q,United Kingdom,Kenya,MoneyGram,Money Transfer Operator,9.9,3.46,11.71
2016_2Q,United Kingdom,Kenya,Sigue Money Transfers,Money Transfer Operator,4.8,2.73,6.73
2016_2Q,United Kingdom,Kenya,Ria,Money Transfer Operator,6.0,4.23,9.23
2016_2Q,United Kingdom,Kenya,Western Union,Money Transfer Operator,6.9,4.22,9.97
2016_2Q,France,Senegal,Societe Generale,Bank,10.0,0.0,7.14
2016_2Q,United Kingdom,Ghana,Money Express,Money Transfer Operator,3.0,0.42,2.92
2016_2Q,United Kingdom,Nigeria,Double Crown International,Money Transfer Operator,11.0,0.0,9.17
2016_2Q,United Kingdom,Ghana,Western Union,Money Transfer Operator,2.9,1.82,4.23
2016_2Q,United Kingdom,Kenya,Xpress Money,Money Transfer Operator,4.5,1.26,5.01
2016_2Q,United Kingdom,Nigeria,Western Union,Money Transfer Operator,2.9,1.7,4.12
2016_2Q,United Kingdom,South Africa,ExpressLinks UK,Money Transfer Operator,5.0,5.44,9.61
2016_2Q,United Kingdom,Kenya,WorldRemit,Money Transfer Operator,2.99,3.11,5.6
2016_2Q,United Kingdom,Uganda,Ria,Money Transfer Operator,6.0,9.35,14.35
2016_2Q,United Kingdom,Uganda,Xpress Money,Money Transfer Operator,8.0,1.91,8.57
2016_2Q,United Kingdom,Ghana,Ghana International Bank,Bank,10.0,0.0,8.33
2016_2Q,United Kingdom,Ghana,WorldRemit,Money Transfer Operator,2.99,1.51,4.0
2016_2Q,United Kingdom,South Africa,Western Union,Money Transfer Operator,2.9,1.9,4.32
2016_2Q,Spain,Nigeria,Small World,Money Transfer Operator,6.0,0.9,7.26
2016_2Q,United Kingdom,Ghana,Small World,Money Transfer Operator,6.0,0.05,5.05
2016_2Q,United Kingdom,Ethiopia,Dahabshiil,Money Transfer Operator,7.2,2.19,8.19
2016_2Q,United Kingdom,Ethiopia,Western Union,Money Transfer Operator,8.9,2.97,10.38
2016_2Q,United Kingdom,Ethiopia,Western Union,Money Transfer Operator,6.9,2.97,8.72
2016_2Q,United Kingdom,Ethiopia,MoneyGram,Money Transfer Operator,19.0,3.2,19.04
2016_2Q,United Kingdom,Nigeria,Small World,Money Transfer Operator,10.0,0.0,8.33
2016_2Q,United Kingdom,Uganda,Small World,Money Transfer Operator,5.99,1.74,6.73
2016_2Q,United Kingdom,Rwanda,Western Union,Money Transfer Operator,8.9,3.85,11.27
2016_2Q,United Kingdom,Rwanda,MoneyGram,Money Transfer Operator,19.0,4.22,20.06
2016_2Q,Ghana,Nigeria,United Bank for Africa (UBA),Bank,17.5,2.05,7.88
2016_2Q,Ghana,Nigeria,UBA Africash,Bank,17.5,2.05,7.88
2016_2Q,Italy,Ethiopia,MoneyGram,Money Transfer Operator,7.4,4.83,10.12
2016_2Q,Italy,Ethiopia,Ria,Money Transfer Operator,4.2,4.74,7.74
2016_2Q,Italy,Ethiopia,Western Union,Money Transfer Operator,7.5,4.21,9.56
2016_2Q,Italy,Senegal,Banca Monte dei Paschi di Siena,Bank,21.0,0.0,15.0
2016_2Q,Italy,Senegal,Banca Monte dei Paschi di Siena,Bank,0.0,0.0,0.0
2016_2Q,Italy,Senegal,Unicredit Banca,Bank,9.2,0.0,6.57
2016_2Q,Italy,Senegal,Unicredit Banca,Bank,12.5,0.0,8.93
2016_2Q,Italy,Senegal,Ria,Money Transfer Operator,3.5,0.0,2.5
2016_2Q,Italy,Senegal,Sigue Money Transfers,Money Transfer Operator,5.0,0.0,3.57
2016_2Q,Italy,Senegal,MoneyGram,Money Transfer Operator,7.4,0.0,5.29
2016_2Q,Italy,Senegal,Western Union,Money Transfer Operator,7.5,0.0,5.36
2016_2Q,United Kingdom,Ethiopia,WorldRemit,Money Transfer Operator,5.99,2.48,7.47
2016_2Q,United Kingdom,Ghana,Samba Money Transfers,Money Transfer Operator,7.0,0.05,5.89
2016_2Q,United Kingdom,Tanzania,Western Union,Money Transfer Operator,8.9,3.17,10.59
2016_2Q,United Kingdom,Kenya,Small World,Money Transfer Operator,0.0,2.75,2.75
2016_2Q,France,Senegal,Western Union,Money Transfer Operator,6.5,0.0,4.64
2016_2Q,United Kingdom,Ghana,Lebara,Money Transfer Operator,2.4,-0.55,1.45
2016_2Q,United Kingdom,Kenya,Azimo,Money Transfer Operator,1.0,8.43,9.26
2016_2Q,United Kingdom,Kenya,Lebara,Money Transfer Operator,2.4,-0.11,1.89
2016_2Q,United Kingdom,Uganda,Azimo,Money Transfer Operator,2.99,6.18,8.67
2016_2Q,United Kingdom,Uganda,Lebara,Money Transfer Operator,2.4,-0.11,1.89
2016_2Q,United Kingdom,South Africa,Azimo,Money Transfer Operator,2.99,0.53,3.02
2016_2Q,United Kingdom,South Africa,Lebara,Money Transfer Operator,2.4,1.97,3.97
2016_2Q,Italy,Ethiopia,WorldRemit,Money Transfer Operator,5.99,3.5,7.78
2016_2Q,France,Senegal,Moneyglobe,Money Transfer Operator,6.9,0.0,4.93
2016_2Q,United Kingdom,Ghana,Azimo,Money Transfer Operator,2.99,3.36,5.85
2016_2Q,United Kingdom,Ghana,MoneyGram,Money Transfer Operator,9.7,1.5,9.59
2016_2Q,United Kingdom,South Africa,Small World,Money Transfer Operator,5.0,8.51,12.68
2016_2Q,United Kingdom,Kenya,Skrill,Money Transfer Operator,0.0,4.46,4.46
2016_2Q,United Kingdom,South Africa,MoneyGram,Money Transfer Operator,6.7,7.08,12.66
2016_2Q,Italy,Ethiopia,Sigue Money Transfers,Money Transfer Operator,5.0,4.75,8.32
2016_2Q,France,Senegal,Western Union,Money Transfer Operator,7.9,0.0,5.64
2016_2Q,United Kingdom,Ethiopia,Azimo,Money Transfer Operator,1.0,1.79,2.62
2016_2Q,United Kingdom,Kenya,Western Union,Money Transfer Operator,2.9,1.72,4.14
2016_2Q,United Kingdom,Rwanda,MoneyGram,Money Transfer Operator,9.7,4.22,12.31
2016_2Q,United Kingdom,Tanzania,Western Union,Money Transfer Operator,2.9,1.42,3.83
2016_2Q,United Kingdom,Ghana,Unity Link,Money Transfer Operator,7.0,0.0,5.83
2016_2Q,United Kingdom,Nigeria,Xendpay,Money Transfer Operator,0.0,0.8,0.8
2016_2Q,United Kingdom,South Africa,Western Union,Money Transfer Operator,8.9,3.95,11.37
2016_2Q,Ghana,Nigeria,Ecobank RapidCash,Bank,23.5,0.0,7.83
2016_2Q,Italy,Ethiopia,Small World,Money Transfer Operator,6.0,2.22,6.51
2016_2Q,United Kingdom,Kenya,Iftin Express,Money Transfer Operator,7.2,1.5,7.5
2016_2Q,United Kingdom,Nigeria,Speedfast,Money Transfer Operator,5.0,0.0,4.17
2016_2Q,Italy,Senegal,Small World,Money Transfer Operator,5.0,0.0,3.57
2016_2Q,United Kingdom,Rwanda,Azimo,Money Transfer Operator,2.99,10.53,13.02
2016_2Q,United Kingdom,Ghana,PayAfrique.com,Money Transfer Operator,6.99,-0.29,5.53
2016_2Q,United Kingdom,Kenya,Equity Direct,Money Transfer Operator,2.0,2.17,3.84
2016_2Q,United Kingdom,Kenya,MoneyGram,Money Transfer Operator,3.99,3.27,6.59
2016_2Q,Italy,Nigeria,Extrabanca,Money Transfer Operator,4.0,13.99,16.85
2016_2Q,Italy,Nigeria,Extrabanca,Money Transfer Operator,5.0,13.99,17.56
2016_2Q,Italy,Nigeria,WorldRemit,Money Transfer Operator,5.99,0.0,4.28
2016_2Q,Italy,Senegal,Extrabanca,Money Transfer Operator,4.0,1.77,4.63
2016_2Q,Italy,Senegal,Extrabanca,Money Transfer Operator,5.0,1.77,5.34
2016_2Q,Italy,Senegal,WorldRemit,Money Transfer Operator,5.99,0.0,4.28
2016_2Q,United Kingdom,Kenya,MoneyGram,Money Transfer Operator,2.89,3.27,5.67
2016_2Q,United Kingdom,Rwanda,WorldRemit,Money Transfer Operator,5.99,3.07,8.06
2016_2Q,United Kingdom,Rwanda,WorldRemit,Money Transfer Operator,5.99,3.07,8.06
2016_2Q,United Kingdom,Rwanda,Xpress Money,Money Transfer Operator,8.0,17.69,24.36
2016_2Q,United Kingdom,Uganda,WorldRemit,Money Transfer Operator,1.99,2.93,4.59
2016_2Q,Spain,Nigeria,BBVA Dinero Express,Money Transfer Operator,5.0,5.7,9.27
2016_2Q,Spain,Nigeria,Maccorp Exact Change,Money Transfer Operator,6.9,4.73,9.66
2016_2Q,Spain,Nigeria,Money Exchange,Money Transfer Operator,4.9,1.56,5.06
2016_2Q,Spain,Nigeria,MoneyGram,Money Transfer Operator,8.9,2.36,8.71
2016_2Q,Spain,Nigeria,Ria,Money Transfer Operator,6.0,1.95,6.23
2016_2Q,Spain,Nigeria,Transferwise,Money Transfer Operator,8.9,4.9,13.4
2016_2Q,Spain,Nigeria,Western Union,Money Transfer Operator,11.9,4.9,13.4
2016_2Q,United Kingdom,Nigeria,Azimo,Money Transfer Operator,0.0,0.0,0.0
2016_2Q,United Kingdom,Nigeria,Azimo,Money Transfer Operator,0.0,1.3,1.3
2016_2Q,United Kingdom,Tanzania,WorldRemit,Money Transfer Operator,5.99,2.96,7.95
2016_2Q,United Kingdom,South Africa,WorldRemit,Money Transfer Operator,5.99,1.87,6.86
2016_2Q,Netherlands,Ghana,MoneyGram,Money Transfer Operator,9.0,4.36,10.79
2016_2Q,Netherlands,Ghana,Western Union,Money Transfer Operator,12.0,3.94,12.51
2016_2Q,Netherlands,Ghana,ABN AMRO Bank,Bank,5.5,0.0,3.93
2016_2Q,Netherlands,Ghana,ING Bank/Postbank,Bank,6.0,0.0,4.29
2016_2Q,Netherlands,Ghana,MoneyTrans,Money Transfer Operator / Post office,8.0,3.02,8.74
2016_2Q,Netherlands,Ghana,Rabobank,Money Transfer Operator,10.0,0.0,7.14
2016_2Q,Netherlands,Ghana,Unity Monetary Services BV,Money Transfer Operator,10.0,0.7,7.84
2016_2Q,Netherlands,Nigeria,MoneyGram,Money Transfer Operator,9.0,0.0,6.43
2016_2Q,Netherlands,Nigeria,Western Union,Money Transfer Operator,12.0,2.17,10.74
2016_2Q,Netherlands,Nigeria,Western Union,Money Transfer Operator,6.9,3.09,8.01
2016_2Q,Netherlands,Nigeria,ABN AMRO Bank,Bank,5.5,0.0,3.93
2016_2Q,Netherlands,Nigeria,ING Bank/Postbank,Bank,6.0,0.0,4.29
2016_2Q,Netherlands,Nigeria,Suri-Change,Money Transfer Operator,5.0,5.05,8.62
2016_2Q,Kenya,Rwanda,Development Bank of Kenya,Bank,2053.0,1.11,12.51
2016_2Q,Kenya,Rwanda,Equatorial Commercial Bank,Bank,1650.0,0.91,10.07
2016_2Q,Kenya,Rwanda,United Bank for Africa (UBA),Bank,1650.0,1.51,10.68
2016_2Q,Kenya,Rwanda,Kenya Commercial Bank (KCB),Bank,2200.0,1.41,13.63
2016_2Q,Kenya,Rwanda,ABC Bank,Money Transfer Operator,1650.0,1.21,10.37
2016_2Q,Kenya,Rwanda,Citibank,Bank,1800.0,1.41,11.41
2016_2Q,Kenya,Rwanda,GT Bank,Bank,1650.0,1.01,10.17
2016_2Q,Kenya,Rwanda,MoneyGram,Money Transfer Operator,396.0,1.51,3.71
2016_2Q,Kenya,Rwanda,Ecobank,Bank,2700.0,1.21,16.21
2016_2Q,Kenya,Rwanda,Western Union,Money Transfer Operator,1320.0,1.51,8.84
2016_2Q,Kenya,Uganda,GT Bank,Bank,1650.0,1.01,10.17
2016_2Q,Kenya,Uganda,Development Bank of Kenya,Bank,2053.0,1.11,12.51
2016_2Q,Kenya,Uganda,Equatorial Commercial Bank,Bank,1650.0,0.91,10.07
2016_2Q,Kenya,Uganda,United Bank for Africa (UBA),Bank,1650.0,1.51,10.68
2016_2Q,Kenya,Uganda,Kenya Commercial Bank (KCB),Bank,2200.0,1.41,13.63
2016_2Q,Kenya,Uganda,ABC Bank,Money Transfer Operator,1650.0,1.21,10.37
2016_2Q,Kenya,Uganda,Citibank,Bank,1800.0,1.41,11.41
2016_2Q,Kenya,Uganda,Ecobank,Bank,2700.0,1.21,16.21
2016_2Q,Kenya,Uganda,UBA Africash,Bank,514.5,1.51,4.37
2016_2Q,Kenya,Uganda,Posta Kenya,Post office,1740.0,1.41,11.08
2016_2Q,Kenya,Uganda,MoneyGram,Money Transfer Operator,396.0,1.51,3.71
2016_2Q,Kenya,Uganda,Western Union,Money Transfer Operator,1320.0,1.51,8.84
2016_2Q,Netherlands,Nigeria,MoneyTrans,Money Transfer Operator / Post office,8.0,0.0,5.71
2016_2Q,Netherlands,Nigeria,WorldRemit,Money Transfer Operator,5.99,0.0,4.28
2016_2Q,Netherlands,Ghana,Western Union,Money Transfer Operator,6.9,3.95,8.88
2016_2Q,Netherlands,Ghana,WorldRemit,Money Transfer Operator,5.99,2.1,6.38
2016_2Q,Netherlands,Ghana,WorldRemit,Money Transfer Operator,5.99,3.48,7.76
2016_2Q,Kenya,Tanzania,ABC Bank,Money Transfer Operator,1650.0,1.21,10.37
2016_2Q,Kenya,Tanzania,Citibank,Bank,1800.0,1.41,11.41
2016_2Q,Kenya,Tanzania,Development Bank of Kenya,Bank,2053.0,1.11,12.51
2016_2Q,Kenya,Tanzania,Ecobank,Bank,2700.0,1.21,16.21
2016_2Q,Kenya,Tanzania,Equatorial Commercial Bank,Bank,1650.0,0.91,10.07
2016_2Q,Kenya,Tanzania,GT Bank,Bank,1650.0,1.01,10.17
2016_2Q,Kenya,Tanzania,Kenya Commercial Bank (KCB),Bank,2200.0,1.41,13.63
2016_2Q,Kenya,Tanzania,MoneyGram,Money Transfer Operator,396.0,1.51,3.71
2016_2Q,Kenya,Tanzania,Posta Kenya,Post office,1740.0,1.41,11.08
2016_2Q,Kenya,Tanzania,UBA Africash,Bank,514.5,1.51,4.37
2016_2Q,Kenya,Tanzania,United Bank for Africa (UBA),Bank,1650.0,1.51,10.68
2016_2Q,Kenya,Tanzania,Western Union,Money Transfer Operator,1320.0,1.51,8.84
2016_2Q,Saudi Arabia,Ethiopia,Al Zamil Exchange,Money Transfer Operator,32.0,0.63,4.9
2016_2Q,Saudi Arabia,Ethiopia,MoneyGram,Money Transfer Operator,30.0,0.97,4.97
2016_2Q,Saudi Arabia,Ethiopia,Western Union,Money Transfer Operator,35.0,1.23,5.9
2016_2Q,Saudi Arabia,Ethiopia,Xpress Money,Money Transfer Operator,30.0,0.63,4.63
2016_2Q,Netherlands,Ghana,Western Union,Money Transfer Operator,6.9,3.93,8.85
2016_2Q,Rwanda,Kenya,Ecobank,Bank,1500.0,0.0,1.0
2016_2Q,Rwanda,Kenya,Kenya Commercial Bank (KCB),Bank,1559.0,11.76,12.8
2016_2Q,Rwanda,Kenya,MoneyGram,Money Transfer Operator,11000.0,5.23,12.57
2016_2Q,Rwanda,Kenya,MTN,Money Transfer Operator,550.0,0.0,0.37
2016_2Q,Rwanda,Kenya,Use Remit,Money Transfer Operator,7485.0,4.04,9.03
2016_2Q,Rwanda,Kenya,Western Union,Money Transfer Operator,14184.0,3.39,12.85
2016_2Q,Rwanda,Kenya,Express Money,Money Transfer Operator,6907.0,10.87,15.47
2016_2Q,Rwanda,Kenya,Tigo,Mobile Operator,900.0,0.0,0.6
2016_2Q,Tanzania,Kenya,Kenya Commercial Bank (KCB),Bank,64908.0,0.83,20.83
2016_2Q,United States,Ghana,Western Union,Money Transfer Operator,5.0,3.95,6.45
2016_2Q,United States,Kenya,Western Union,Money Transfer Operator,9.99,4.83,9.83
2016_2Q,United States,Kenya,Western Union,Money Transfer Operator,10.0,4.83,9.83
2016_2Q,United States,Nigeria,Western Union,Money Transfer Operator,10.0,1.31,6.31
2016_2Q,Tanzania,Kenya,National Bank of Commerce Ltd (NBC),Bank,81135.0,1.16,26.16
2016_2Q,Tanzania,Kenya,Stanbic Bank,Bank,89248.5,1.27,28.77
2016_2Q,Tanzania,Kenya,UBA Africash,Bank,10850.0,0.99,4.33
2016_2Q,Tanzania,Kenya,Western Union,Money Transfer Operator,17650.0,1.27,6.71
2016_2Q,Tanzania,Kenya,MoneyGram,Money Transfer Operator,17500.0,1.16,6.55
2016_2Q,Tanzania,Kenya,Tanzania Postal Corporation,Post office,24000.0,0.99,8.38
2016_2Q,Tanzania,Rwanda,Kenya Commercial Bank (KCB),Bank,32454.0,0.83,10.83
2016_2Q,Tanzania,Rwanda,Barclays,Bank,56794.5,0.83,18.33
2016_2Q,Tanzania,Rwanda,Kenya Commercial Bank (KCB),Bank,64908.0,0.83,20.83
2016_2Q,Tanzania,Rwanda,NBC (National Bank of Commerce Ltd),Bank,81135.0,1.16,26.16
2016_2Q,Tanzania,Rwanda,NMB (National Microfinance Bank),Non-Bank FI,81135.0,0.93,25.93
2016_2Q,Tanzania,Rwanda,Cooperative Rural Development Bank (CRDB),Bank,90871.2,0.83,28.84
2016_2Q,Tanzania,Rwanda,Stanbic Bank,Bank,89248.5,1.27,28.77
2016_2Q,Tanzania,Rwanda,MoneyGram,Money Transfer Operator,17500.0,1.16,6.55
2016_2Q,Tanzania,Rwanda,Western Union,Money Transfer Operator,17650.0,1.27,6.71
2016_2Q,Tanzania,Rwanda,Tanzania Postal Corporation,Post office,24000.0,0.99,8.38
2016_2Q,Tanzania,Uganda,Kenya Commercial Bank (KCB),Bank,32454.0,0.83,10.83
2016_2Q,Tanzania,Uganda,Barclays,Bank,56794.5,0.83,18.33
2016_2Q,Tanzania,Uganda,Kenya Commercial Bank (KCB),Bank,64908.0,0.83,20.83
2016_2Q,Tanzania,Uganda,NBC (National Bank of Commerce Ltd),Bank,81135.0,1.16,26.16
2016_2Q,Tanzania,Uganda,NMB (National Microfinance Bank),Non-Bank FI,81135.0,0.93,25.93
2016_2Q,Tanzania,Uganda,Cooperative Rural Development Bank (CRDB),Bank,90871.2,0.83,28.84
2016_2Q,Tanzania,Uganda,Stanbic Bank,Bank,89248.5,1.27,28.77
2016_2Q,Tanzania,Uganda,MoneyGram,Money Transfer Operator,17500.0,1.16,6.55
2016_2Q,Tanzania,Uganda,Western Union,Money Transfer Operator,17650.0,1.27,6.71
